reach_id;FromN;ToN;Slope;Wac;Q;n;D16;D50;D84;Length;x_FN;y_FN;x_TN;y_TN;el_FN;el_TN;deposit
171;171;172;0.009;29.36;66.67278716;0.1;0.0005;0.00118;0.00283;1673.675324;740835;5928085;740875;5929085;225.5780256;210.5149477;0
172;172;173;0.009;36.7;66.67278716;0.1;0.0005;0.00118;0.00283;1687.523087;740885;5929095;741605;5929935;210.5149477;195.32724;250
173;173;151;0.009;36.7;66.67278716;0.1;0.0005;0.00118;0.00283;1678.528137;741615;5929945;741555;5931085;195.32724;180.2204867;250
174;174;175;0.034036;10.32970324;2.117695868;0.1;0.001;0.002;0.00283;1373.675324;726985;5934305;727295;5935365;575.6318341;528.8774208;0
175;175;176;0.028;10;8.953508605;0.2;0.0005;0.00141;0.00283;3636.46753;727295;5935365;728895;5936225;528.8774208;427.05633;0
176;176;177;0.029;11.36;23.96357156;0.1;0.00071;0.002;0.004;2222.081528;728905;5936225;730035;5935585;427.05633;362.6159657;0
177;177;178;0.029;11.36;23.96357156;0.1;0.00071;0.002;0.004;2237.64502;730035;5935575;731465;5935025;362.6159657;297.7242601;0
178;178;179;0.01;29.44;34.8364993;0.1;0.00071;0.00141;0.00283;2447.228714;731475;5935025;732835;5934685;297.7242601;273.2519729;0
179;179;180;0.01;29.44;34.8364993;0.1;0.00071;0.00141;0.00283;2444.507935;732845;5934685;734595;5935515;273.2519729;248.8068936;0
180;180;181;0.01;36.8;34.8364993;0.1;0.00071;0.00141;0.00283;2453.91919;734625;5935525;736475;5935715;248.8068936;224.2677017;75
181;181;182;0.01;36.8;34.8364993;0.1;0.00071;0.00141;0.00283;2454.213562;736485;5935715;736985;5935285;224.2677017;199.7255661;75
182;182;183;0.01;29.44;34.8364993;0.1;0.00071;0.00141;0.00283;2463.502884;736995;5935265;738265;5934975;199.7255661;175.0905372;0
183;183;184;0.01;29.44;34.8364993;0.1;0.00071;0.00141;0.00283;2465.929291;738275;5934975;738745;5934455;175.0905372;150.4312443;0
184;184;185;0.004;23.56260321;36.98249286;0.1;0.00071;0.002;0.004;2181.076477;738765;5934445;740385;5934105;150.4312443;141.7069384;0
185;185;85;0.004;23.56260321;36.98249286;0.1;0.00071;0.002;0.004;2189.360749;740395;5934105;740865;5935235;141.7069384;132.9494954;0
